"","flow","rivseg","basin","river","DAsqmi","bascd","Upstream","Downstream","downseg","upseg"
"363",0,"WM0_3961_0000","Western Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",36.77119827,"WM","3961","0000","NA","NA"
"364",0,"WM0_3962_0000","Western Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",14.55440044,"WM","3962","0000","NA","NA"
"365",0,"WM0_3963_0000","Western Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",8.831190109,"WM","3963","0000","NA","NA"
"366",0,"WM0_3964_0000","Western Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",18.25939941,"WM","3964","0000","NA","NA"
"368",0,"WU0_3160_0000","Western Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",14.52729988,"WU","3160","0000","NA","NA"
"369",0,"WU0_3253_0000","Western Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",28.4496994,"WU","3253","0000","NA","NA"
"371",1,"WU1_3482_0001","Western Shore of Chesapeake Bay","Western Run",58.31499863,"WU","3482","0001","NA","NA"
"372",0,"WU0_3540_0000","Western Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",32.34339905,"WU","3540","0000","NA","NA"
"373",0,"WU0_3670_0001","Western Shore of Chesapeake Bay","Whitemarsh Run",16.00399971,"WU","3670","0001","NA","NA"
"374",0,"WU0_3671_0000","Western Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",9.829090118,"WU","3671","0000","NA","NA"
"375",0,"WU0_3820_0000","Western Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",9.426400185,"WU","3820","0000","NA","NA"
"376",1,"XL1_4690_0001","Patuxent River Basin","Patuxent River Western Branch",93.0326004,"XL","4690","0001","NA","NA"
"377",1,"XL1_4691_0000","Patuxent River Basin","Patuxent River Western Branch",18.54910088,"XL","4691","0000","NA","NA"
"378",3,"XL3_4710_0000","Patuxent River Basin","Patuxent River",30.53300095,"XL","4710","0000","NA","NA"
"379",3,"XL3_4711_0000","Patuxent River Basin","Drains to Tidal Water - No River Simulation",21.72599983,"XL","4711","0000","NA","NA"
"380",3,"XL3_4712_0000","Patuxent River Basin","Drains to Tidal Water - No River Simulation",10.46080017,"XL","4712","0000","NA","NA"
"381",3,"XL3_4713_0000","Patuxent River Basin","Drains to Tidal Water - No River Simulation",55.0591011,"XL","4713","0000","NA","NA"
"382",3,"XL3_4950_0000","Patuxent River Basin","Patuxent River",56.35490036,"XL","4950","0000","NA","NA"
"383",3,"XL3_4951_0000","Patuxent River Basin","Drains to Tidal Water - No River Simulation",26.51000023,"XL","4951","0000","NA","NA"
"384",3,"XL3_4952_0000","Patuxent River Basin","Drains to Tidal Water - No River Simulation",6.190340042,"XL","4952","0000","NA","NA"
"385",0,"XL0_4953_0000","Patuxent River Basin","Drains to Tidal Water - No River Simulation",11.58339977,"XL","4953","0000","NA","NA"
"386",0,"XL0_4954_0000","Patuxent River Basin","Drains to Tidal Water - No River Simulation",9.868769646,"XL","4954","0000","NA","NA"
"387",0,"XL0_4955_0000","Patuxent River Basin","Drains to Tidal Water - No River Simulation",8.078009605,"XL","4955","0000","NA","NA"
"388",0,"XL0_5347_0000","Patuxent River Basin","Drains to Tidal Water - No River Simulation",12.54660034,"XL","5347","0000","NA","NA"
"389",0,"XL0_5348_0000","Patuxent River Basin","Drains to Tidal Water - No River Simulation",29.70499992,"XL","5348","0000","NA","NA"
"390",0,"XL0_5349_0000","Patuxent River Basin","Drains to Tidal Water - No River Simulation",1.644250035,"XL","5349","0000","NA","NA"
"391",0,"XL0_5350_0000","Patuxent River Basin","Hunting Creek",17.85320091,"XL","5350","0000","NA","NA"
"395",2,"YL2_6580_0001","York River Basin","Piankatank River",140.0650024,"YL","6580","0001","NA","NA"
"396",0,"YL0_6581_0000","York River Basin","Drains to Tidal Water - No River Simulation",65.91480255,"YL","6581","0000","NA","NA"
"397",0,"YL0_6872_0000","York River Basin","Drains to Tidal Water - No River Simulation",56.65029907,"YL","6872","0000","NA","NA"
"398",0,"YL0_6870_0000","York River Basin","Drains to Tidal Water - No River Simulation",167.2319946,"YL","6870","0000","NA","NA"
"399",0,"YL0_6930_0000","York River Basin","Drains to Tidal Water - No River Simulation",169.5820007,"YL","6930","0000","NA","NA"
"400",0,"YL0_6931_0000","York River Basin","Drains to Tidal Water - No River Simulation",32.18700027,"YL","6931","0000","NA","NA"
"401",0,"YL0_7010_0000","York River Basin","Owens Creek",61.50230026,"YL","7010","0000","NA","NA"
"402",0,"YL0_7230_0000","York River Basin","Drains to Tidal Water - No River Simulation",27.70179939,"YL","7230","0000","NA","NA"
"403",0,"YL0_7370_0000","York River Basin","Drains to Tidal Water - No River Simulation",216.6369934,"YL","7370","0000","NA","NA"
"406",0,"YM0_6621_0000","York River Basin","Mattaponi River",5.350959778,"YM","6621","0000","NA","NA"
